,Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,Cluster
0,57,Postgraduate,Alone,58138.0,1617,25.333333333333332,No child,No child,635,88,546,172,88,88,Stars
1,60,Postgraduate,Alone,46344.0,27,7.0,Has child,2 children,11,1,6,2,1,6,Need attention
2,49,Postgraduate,In couple,71613.0,776,13.633333333333333,No child,No child,426,49,127,111,21,42,High potential
3,30,Postgraduate,In couple,26646.0,53,7.866666666666666,Has child,1 child,11,4,20,10,3,5,Need attention
4,33,Postgraduate,In couple,58293.0,422,8.6,Has child,1 child,173,43,118,46,27,15,Need attention
5,47,Postgraduate,In couple,62513.0,716,13.0,Has child,1 child,520,42,98,0,42,14,High potential
6,43,Postgraduate,Alone,55635.0,590,23.0,Has child,1 child,235,65,164,50,49,27,Stars
7,29,Postgraduate,In couple,33454.0,169,17.133333333333333,Has child,1 child,76,10,56,3,1,23,Leaky bucket
8,40,Postgraduate,In couple,30351.0,46,16.166666666666668,Has child,1 child,14,0,24,3,3,2,Leaky bucket
9,64,Postgraduate,In couple,5648.0,49,6.833333333333333,Has child,2 children,28,0,6,1,1,13,Need attention
11,38,Undergraduate,In couple,7500.0,61,23.0,No child,No child,6,16,11,11,1,16,Leaky bucket
12,55,Postgraduate,Alone,63033.0,1102,10.766666666666667,No child,No child,194,61,480,225,112,30,High potential
13,62,Postgraduate,Alone,59354.0,310,10.766666666666667,Has child,2 children,233,2,53,3,5,14,Need attention
14,27,Postgraduate,In couple,17323.0,46,24.133333333333333,No child,No child,3,14,17,6,1,5,Leaky bucket
15,68,Postgraduate,Alone,82800.0,1315,22.633333333333333,No child,No child,1006,22,115,59,68,45,Stars
16,34,Postgraduate,In couple,41850.0,96,21.633333333333333,Has child,2 children,53,5,19,2,13,4,Leaky bucket
17,68,Postgraduate,In couple,37760.0,317,25.466666666666665,No child,No child,84,5,38,150,12,28,Leaky bucket
18,65,Postgraduate,In couple,76995.0,1782,18.5,Has child,1 child,1012,80,498,0,16,176,Stars
19,29,Undergraduate,Alone,33812.0,133,23.333333333333332,Has child,1 child,4,17,19,30,24,39,Leaky bucket
20,32,Postgraduate,In couple,37040.0,316,26.233333333333334,No child,No child,86,2,73,69,38,48,Leaky bucket
