,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
0,Postgraduate,Alone,No child,No child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
2,Postgraduate,In couple,No child,No child,High potential,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
3,Postgraduate,In couple,Has child,1 child,Need attention,Young,Low income,New customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
4,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
5,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
6,Postgraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
7,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
8,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
9,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
11,Undergraduate,In couple,No child,No child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
12,Postgraduate,Alone,No child,No child,High potential,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
13,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
14,Postgraduate,In couple,No child,No child,Leaky bucket,Young,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
15,Postgraduate,Alone,No child,No child,Stars,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
16,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
17,Postgraduate,In couple,No child,No child,Leaky bucket,Senior,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
18,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer
19,Undergraduate,Alone,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
20,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
21,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
22,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
23,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
24,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
25,Postgraduate,Alone,No child,No child,Leaky bucket,Adult,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
26,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Medium to high income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
28,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low to medium income,Emerging customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
29,Postgraduate,In couple,No child,No child,High potential,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer
30,Postgraduate,Alone,No child,No child,Need attention,Young,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
31,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
32,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
33,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
34,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Emerging customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
35,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
36,Postgraduate,In couple,Has child,1 child,High potential,Adult,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
37,Undergraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
38,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
39,Postgraduate,Alone,No child,No child,Stars,Senior,Low to medium income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
40,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
41,Postgraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Emerging customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
42,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Old customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
44,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
45,Postgraduate,Alone,No child,No child,High potential,Adult,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
46,Undergraduate,In couple,No child,No child,Leaky bucket,Young,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
47,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Emerging customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
49,Postgraduate,In couple,Has child,2 children,Stars,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
50,Postgraduate,Alone,Has child,1 child,High potential,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
51,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
52,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
53,Postgraduate,Alone,No child,No child,High potential,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
54,Postgraduate,In couple,Has child,2 children,Stars,Adult,Medium to high income,Emerging customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
55,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
56,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Emerging customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
57,Postgraduate,Alone,Has child,1 child,Need attention,Young,Low income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
59,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
60,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Emerging customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
61,Postgraduate,In couple,Has child,2 children,Stars,Adult,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
62,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
63,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
64,Postgraduate,In couple,No child,No child,High potential,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
65,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Emerging customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
66,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
67,Undergraduate,Alone,Has child,1 child,High potential,Adult,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
68,Postgraduate,In couple,Has child,1 child,High potential,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
69,Postgraduate,In couple,Has child,3 children,Stars,Adult,High income,Emerging customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
70,Postgraduate,In couple,No child,No child,Stars,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
72,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Emerging customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
73,Postgraduate,In couple,Has child,2 children,Stars,Adult,Medium to high income,Emerging customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
74,Postgraduate,In couple,No child,No child,Need attention,Mature,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
75,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
76,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
77,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
78,Undergraduate,In couple,No child,No child,Need attention,Adult,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
79,Postgraduate,In couple,No child,No child,Stars,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
80,Postgraduate,Alone,Has child,1 child,Leaky bucket,Young,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
